name,price
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i5 - X515EP-EJ338 رم 8GB حافظه 512GB SSD گرافیک MX330 - نقره ای,"236,000,000"
لپ تاپ ایسوس 15.6 اینچی HD مدل Intel i3 - X515JA-BR3991W رم 12GB حافظه 512GB SSD گرافیک Intel - نقره ای,"222,290,000"
لپ تاپ لنوو 15.6 اینچی HD مدل Intel i3 - Ideapad 3 15IML05 رم 4GB حافظه 1TB HDD گرافیک Integrated - خاکستری,"167,000,000"
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i3 - V15 G2 ITL رم 8GB حافظه 512GB SSD گرافیک Integrated - مشکی (به همراه کیف),"176,000,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i7 - X515EP-EJ441 رم 8GB حافظه 512GB SSD گرافیک MX330 - نقره ای,"286,000,000"
لپ تاپ لنوو 15.6 اینچی FHD مدل AMD R7 - Ideapad 3 15ALC6 رم 12GB حافظه 1TB HDD+256GB SSD گرافیک Radeon - خاکستری,"230,390,000"
لپ تاپ ایسوس 14 اینچی FHD مدل Intel i3 - F415EA-AS31 رم 8GB حافظه 512GB SSD گرافیک Integrated - خاکستری,"194,990,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i5 - VivoBook R564JA-UH51T رم 12GB حافظه 512GB SSD گرافیک Integrated - خاکستری,"258,890,000"
لپ تاپ گیمینگ ایسوس 15.6 اینچی FHD مدل Intel i5 - FX506HF-HN014 رم 8GB حافظه 512GB SSD گرافیک RTX2050 - خاکستری تیره,"358,190,000"
لپ تاپ لنوو 15.6 اینچی FHD مدل AMD R5 - V15 G3 ABA رم 12GB حافظه 512GB SSD گرافیک Integrated - مشکی,"203,490,000"
لپ تاپ ایسوس 15.6 اینچی HD مدل Intel N4020 - E510MA-BR975 رم 4GB حافظه 512GB SSD گرافیک Integrated - آبی,"128,490,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i3 - A1500EA-EJ3390W رم 8GB حافظه 256GB SSD گرافیک Integrated - مشکی,"196,490,000"
لپ تاپ لنوو 15.6 اینچی FHD مدل AMD R5 - V15 G3 ABA رم 8GB حافظه 512GB SSD گرافیک Integrated - مشکی,"199,990,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i3 - P1512CEA-BQ1045XA رم 8GB حافظه 256GB SSD گرافیک Integrated - خاکستری,"191,990,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i3 - X515EA-EJ1314W رم 8GB حافظه 512GB SSD گرافیک Integrated - نقره ای,"169,990,000"
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i5 - ThinkBook 15 G2 ITL رم 8GB حافظه 256GB SSD گرافیک MX450 - خاکستری,"288,490,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i5 - VivoBook R564JA-UH51T رم 20GB حافظه 1TB SSD گرافیک Integrated - خاکستری,"283,990,000"
لپ تاپ گیمینگ ایسوس 15.6 اینچی FHD مدل Intel i5 - FX506HF-HN014 رم 16GB حافظه 512GB SSD گرافیک RTX2050 - خاکستری تیره,"368,190,000"
لپ تاپ لنوو 15.6 اینچی FHD مدل Intel i5 - V15 G2 ITL رم 12GB حافظه 512GB SSD گرافیک MX350  - مشکی (به همراه کیف),"223,990,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i5 - VivoBook R564JA-UH51T رم 8GB حافظه 512GB SSD گرافیک Integrated - خاکستری,"253,790,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i7 - B1500CBA-BQ0268 رم 32GB حافظه 1TB HDD+512GB SSD گرافیک Intel - مشکی (به همراه کیف و ماوس),"387,790,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i3 - X515EP-EJ554W رم 8GB حافظه 512GB SSD گرافیک MX330 - خاکستری,"216,690,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i7 - B1500CBA-BQ0268 رم 16GB حافظه 1TB HDD+256GB SSD گرافیک Intel - مشکی (به همراه کیف و ماوس),"366,190,000"
لپ تاپ ایسوس 15.6 اینچی FHD مدل Ryzen7 - M513UA-BN716 رم 16GB حافظه 512GB SSD گرافیک Integrated - نقره ای,"285,990,000"
