name,price
گوشی موبایل اپل مدل iphone 13 Pro Non Active ZDA ظرفیت 512GB - طلایی (تک سیم کارت),"
                                        68,900
                                   
                                "
گوشی موبایل اپل مدل iphone 13 Pro Non Active JA ظرفیت 512GB - آبی (تک سیم کارت),"
                                        70,700
                                   
                                "
گوشی موبایل اپل مدل iphone 13 Pro Non Active AHA ظرفیت 1TB - آبی (تک سیم کارت),"
                                        73,000
                                   
                                "
گوشی موبایل اپل مدل iphone 13 Pro Max Non Active CHA ظرفیت 256GB - آبی (دو سیم کارت),"
                                        90,000
                                   
                                "
شارژر دیواری اپل 20 وات-ZEA - سفارش امارات (گارانتی شش ماهه شرکتی),"
                                        620
                                   
                                "
شارژر دیواری اپل 20 وات-B/A سفارش ایرلند - درجه یک (گارانتی شش ماهه شرکتی),"
                                        695
                                   
                                "
شارژر دیواری 3 پین آیفون USB-C مدل A++ - A2344 20W B/A - سفید - سفارش ایرلند (گارانتی شش ماهه شرکتی),"
                                        899
                                   
                                "
شارژر دیواری اپل 20 وات-B/A سفارش ایرلند - اصلی (گارانتی شرکتی),"
                                        999
                                   
                                "
AirPods 2 - سفید - اصلی (گارانتی 6 ماهه شرکتی),"
                                        5,450
                                   
                                "
AirPods 2 - سفید - اصلی (گارانتی 12 ماهه داریا همراه),"
                                        5,550
                                   
                                "
AirPods 3 - سفید - اصلی (گارانتی 12 ماهه داریا همراه),"
                                        7,750
                                   
                                "
AirPods Pro2 2022 - سفید - اصلی (گارانتی 12 ماهه داریا همراه),"
                                        10,480
                                   
                                "
ساعت هوشمند اپل واچ SE سری 8 مدل Midnight Aluminum Case Midnight Sport Band-40MM - مشکی - اصلی (گارانتی 6 ماهه شرکتی),"
                                        12,800
                                   
                                "
ساعت هوشمند اپل واچ SE سری 8 مدل Silver Aluminum Case White Sport Band-40MM - نقره ای - اصلی (گارانتی 6 ماهه شرکتی),"
                                        13,400
                                   
                                "
ساعت هوشمند اپل واچ SE سری 8 مدل Silver Aluminum Case White Sport Band-40MM-S/M - نقره ای - اصلی (گارانتی 18 ماهه شرکتی),"
                                        13,450
                                   
                                "
ساعت هوشمند اپل واچ SE سری 8 مدل Starlight Aluminum Case Starlight Sport Band-44MM - اصلی (گارانتی 6 ماهه شرکتی),"
                                        13,550
                                   
                                "
ساعت هوشمند اپل واچ SE سری 8 مدل Starlight Aluminum Case Starlight Sport Band-40MM - اصلی (گارانتی 6 ماهه شرکتی),"
                                        13,600
                                   
                                "
ساعت هوشمند اپل واچ SE سری 8 مدل Midnight Aluminum Case Midnight Sport Band-44MM - مشکی - اصلی (گارانتی 6 ماهه شرکتی),"
                                        14,790
                                   
                                "
ساعت هوشمند اپل واچ سری 8 مدل Starlight Aluminum Case Starlight Sport Band-41MM - اصلی (گارانتی 6 ماهه شرکتی),"
                                        17,900
                                   
                                "
ساعت هوشمند اپل واچ سری 8 مدل Starlight Aluminum Case Starlight Sport Band-45MM - طلایی - اصلی (گارانتی 6 ماهه شرکتی),"
                                        19,300
                                   
                                "
ساعت هوشمند اپل واچ سری 8 مدل Silver Aluminum Case White Sport Band-45MM - نقره ای - اصلی (گارانتی 6 ماهه شرکتی),"
                                        19,700
                                   
                                "
ساعت هوشمند اپل واچ سری 8 مدل Midnight Aluminum Case Midnight Sport Band-45MM - مشکی - اصلی (گارانتی 6 ماهه شرکتی),"
                                        20,600
                                   
                                "
لپ تاپ ایسوس 15.6 اینچی HD مدل Intel N4020 - E510MA-BR975 رم 4GB حافظه 512GB SSD گرافیک Integrated - آبی,"
                                        12,849
                                   
                                "
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i3 - X515EA-EJ1314 رم 8GB حافظه 256GB SSD گرافیک Integrated - نقره ای,"
                                        16,199
                                   
                                "
لپ تاپ ایسوس 15.6 اینچی FHD مدل Intel i3 - X515EA-EJ1314W رم 8GB حافظه 512GB SSD گرافیک Integrated - نقره ای,"
                                        16,999
                                   
                                "
