name,price
اسپیکر رومیزی (دسکتاپ) دو تکه تسکو مدل TS2064 - مشکی USB و AUX دار,"4,070,000"
اسپیکر رومیزی (دسکتاپ) دو تکه تسکو مدل TS2058 - مشکی RGB دار ,"2,540,000"
اسپیکر رومیزی (دسکتاپ) سه تکه تسکو مدل TS2182 - مشکی با توان خروجی 40 وات ,"30,250,000"
اسپیکر رومیزی (دسکتاپ) دو تکه تسکو مدل TS2059 - مشکی RGB دار ,"2,540,000"
اسپیکر پرتابل ساندبار تسکو TS 23350 - مشکی ,"10,600,000"
ساندبار شیائومی مدل MDZ-34-DA - مشکی,"18,900,000"
اسپیکر دسکتاپ DATIS مدل GS315-R(Ultra),"24,900,000"
اسپیکر با سیم رویال RSL-716 - قهوه ای,"3,890,000"
اسپیکر دسکتاپ DATIS مدل TS 2116U(Ultra),"24,900,000"
اسپیکر رومیزی +D-NET مدل DT-11 - مشکی آبی,"2,090,000"
اسپیکر رومیزی +D-NET مدل DT-12 - مشکی,"2,090,000"
اسپیکر رومیزی +D-NET مدل DT-15 - قهوه ای,"3,790,000"
اسپیکر دسکتاپ DATIS مدل GS325-R(Ultra),"24,900,000"
