name,price
ساعت هوشمند ProOne مدل PWS07 Smart Watch - نارنجی,"14,990,000"
ساعت هوشمند ProOne مدل PWS07 Smart Watch - سبز,"14,990,000"
ساعت هوشمند ProOne مدل PWS08 Smart Watch - مشکی,"15,990,000"
ساعت هوشمند ProOne مدل PWS08 Smart Watch - نقره ای,"15,990,000"
ساعت هوشمند ProOne مدل PWS06 Smart Watch - نقره ای,"19,490,000"
ساعت هوشمند ProOne مدل PWS05 Smart Watch - مشکی,"19,490,000"
ساعت هوشمند ProOne مدل PWS05 Smart Watch - نقره ای,"19,490,000"
ساعت هوشمند ProOne مدل PWS06 Smart Watch - مشکی,"19,490,000"
ساعت هوشمند ProOne مدل PWS10 Smart Watch - نقره ای,"18,990,000"
ساعت هوشمند yesido مدل IO11 - مشکی,"18,990,000"
ساعت هوشمند ProOne مدل PWS10 Smart Watch - طلایی,"18,990,000"
ساعت هوشمند ProOne مدل PWS04 Smart Watch - آبی,"19,990,000"
ساعت هوشمند HD8 ultra - نقره ای (گارانتی شش ماهه رادوین),"14,990,000"
ساعت هوشمند yesido مدل IO19 - نقره ای,"20,990,000"
ساعت هوشمند مکالمه دار Wiwu Smart Watch 44mm مدل SW01 - آبی (گارانتی 6 ماهه شرکتی),"13,200,000"
ساعت هوشمند مکالمه دار Wiwu Smart Watch 44mm مدل SW01 - مشکی (گارانتی 6 ماهه شرکتی),"13,900,000"
ساعت هوشمند مکالمه دار Wiwu Smart Watch 44mm مدل SW01 - سبز (گارانتی 6 ماهه شرکتی),"13,800,000"
ساعت هوشمند مکالمه دار Wiwu Smart Watch 49mm مدل SW01 Pro - طلایی (گارانتی شش ماهه شرکتی),"14,900,000"
ساعت هوشمند مکالمه دار Wiwu Smart Watch 49mm مدل SW01 Pro - خاکستری (گارانتی شش ماهه شرکتی),"14,900,000"
ساعت هوشمند Haino Teko مدل S1 - مشکی (گارانتی شش ماهه شرکتی),"11,300,000"
ساعت هوشمند Haino Teko مدل RW-15 - طلایی (گارانتی شش ماهه شرکتی),"12,500,000"
ساعت هوشمند X.cell مدل G3 Talk Lite - سرمه ای (گارانتی شش ماهه شرکتی),"13,400,000"
ساعت هوشمند X.cell مدل Classic 3 Talk Lite - سرمه ای (گارانتی شش ماهه شرکتی),"14,700,000"
ساعت هوشمند شیائومی Kieslect مدل Smart WATCH K11 PRO به همراه بند سیلیکونی - مشکی - اصلی (گارانتی شش ماهه شرکتی),"17,000,000"
##name##,##price##
